,Race Distance,Race Location,Race Number,Race Result,Race State,Race result status
66,          1350m        ,          Wyong        ,R8,  3 . 2 . 9,(NSW),          Final        
67,          1600m        ,          Northam        ,R3,  10 . 1 . 4,(WA),          Final        
68,          1400m        ,          Cairns        ,R7,  1 . 6 . 5,(QLD),          Final        
69,          1200m        ,          Gawler        ,R7,  3 . 7 . 13,(SA),          Final        
70,          1600m        ,          Wyong        ,R7,  2 . 6 . 5,(NSW),          Final        
71,          1400m        ,          Northam        ,R2,  2 . 3 . 1,(WA),          Final        
72,          1500m        ,          Cairns        ,R6,  6 . 5 . 7,(QLD),          Final        
73,          1100m        ,          Gawler        ,R6,  11 . 7 . 8,(SA),          Final        
74,          1100m        ,          Wyong        ,R6,  5 . 3 . 6,(NSW),          Final        
75,          1400m        ,          Northam        ,R1,  8 . 2 . 3,(WA),          Final        
76,          1250m        ,          Cairns        ,R5,  7 . 2 . 4,(QLD),          Final        
77,          1706m        ,          Gawler        ,R5,  13 . 5 . 9,(SA),          Final        
78,          1200m        ,          Wyong        ,R5,  11 . 12 . 3,(NSW),          Final        
79,          1250m        ,          Cairns        ,R4,  1 . 5 . 7,(QLD),          Final        
80,          2112m        ,          Gawler        ,R4,  7 . 9 . 4,(SA),          Final        
81,          1350m        ,          Wyong        ,R4,  9 . 2 . 3,(NSW),          Final        
82,          1550m        ,          Awapuni        ,R7,  6 . 4 . 5,(NZ),          Final        
83,          950m        ,          Cairns        ,R3,  5 . 6 . 1,(QLD),          Final        
84,          1100m        ,          Gawler        ,R3,  8 . 2 . 6,(SA),          Final        
85,          1600m        ,          Wyong        ,R3,  2 . 4 . 6,(NSW),          Final        
86,          1400m        ,          Awapuni        ,R6,  1 . 2 . 10,(NZ),          Final        
87,          950m        ,          Cairns        ,R2,  3 . 5 . 2,(QLD),          Final        
88,          1200m        ,          Gawler        ,R2,  4 . 6 . 5,(SA),          Final        
89,          1350m        ,          Wyong        ,R2,  8 . 6 . 5,(NSW),          Final        
90,          2200m        ,          Awapuni        ,R5,  4 . 5 . 8,(NZ),          Final        
91,          950m        ,          Cairns        ,R1,  1 . 5 . 2,(QLD),          Final        
92,          1506m        ,          Gawler        ,R1,  1 . 8 . 10,(SA),          Final        
93,          1100m        ,          Wyong        ,R1,  7 . 3 . 2,(NSW),          Final        
94,          1200m        ,          Awapuni        ,R4,  12 . 7 . 9,(NZ),          Final        
95,          1100m        ,          Awapuni        ,R3,  3 . 2 . 1,(NZ),          Final        
96,          2800m        ,          Awapuni        ,R2,  10 . 4 . 1,(NZ),          Final        
97,          4200m        ,          Awapuni        ,R1,  1 . 9 . 11,(NZ),          Final        
